"Genomic Location","Overlapping Gene(s)","Orientation","Query start","Query end","Length","Score","E-val","%ID"
"X:123221399-123222481","Srsx","Reverse","1","1083","1083","2141","0.0","100.00"
"X:123675069-123676151","","Reverse","1","1083","1083","2085","0.0","99.35"
"X:123902080-123903162","","Reverse","1","1083","1083","1990","0.0","98.25"
"X:123460595-123461677","","Reverse","1","1083","1083","1982","0.0","98.15"
"X:124520426-124521508","","Forward","1","1083","1083","1967","0.0","97.97"
"X:124649756-124650838","","Forward","1","1083","1083","1967","0.0","97.97"
"X:125725307-125726389","","Forward","1","1083","1083","1967","0.0","97.97"
"X:125908066-125909148","","Forward","1","1083","1083","1967","0.0","97.97"
"X:126032824-126033906","","Forward","1","1083","1083","1967","0.0","97.97"
"X:124397914-124398996","","Forward","1","1083","1083","1951","0.0","97.78"
"X:124901529-124902611","","Forward","1","1083","1083","1951","0.0","97.78"
"X:125332916-125333998","","Forward","1","1083","1083","1951","0.0","97.78"
"X:125595954-125597036","","Forward","1","1083","1083","1951","0.0","97.78"
"X:124196911-124197993","","Reverse","1","1083","1083","1848","0.0","96.58"
"X:123013511-123014593","","Reverse","1","1083","1083","1816","0.0","96.21"
"Y:5248359-5249441","Gm21820","Reverse","1","1083","1083","1801","0.0","96.03"
"Y:48231089-48232171","","Forward","1","1083","1083","1793","0.0","95.94"
"Y:29764580-29765662","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:30143676-30144758","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:30894361-30895443","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:31790582-31791664","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:32169763-32170845","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:32232194-32233276","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:32293463-32294545","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:32699885-32700967","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:32767613-32768695","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:33151764-33152846","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:34074771-34075853","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:34136982-34138064","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:34197508-34198590","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:42781878-42782960","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:42844226-42845308","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:45799804-45800886","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:45862191-45863273","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:46860785-46861867","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:46923210-46924292","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:47302802-47303884","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:47780768-47781850","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:58036297-58037379","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:58415543-58416625","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:58479948-58481030","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:58969335-58970417","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:59035651-59036733","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:59723055-59724137","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:59784805-59785887","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:60160421-60161503","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:60571166-60572248","","Reverse","1","1083","1083","1785","0.0","95.84"
"Y:61021484-61022566","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:90320431-90321513","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:90616698-90617780","","Reverse","1","1083","1083","1785","0.0","95.84"
"JH584302:44249-45331","","Reverse","1","1083","1083","1785","0.0","95.84"
"CHR_MG4209_PATCH:45862191-45863273","","Forward","1","1083","1083","1785","0.0","95.84"
"Y:29207855-29208937","","Forward","1","1083","1083","1777","0.0","95.75"
"Y:30411667-30412749","","Forward","1","1083","1083","1777","0.0","95.75"
"Y:30826979-30828061","","Reverse","1","1083","1083","1777","0.0","95.75"
"Y:31278543-31279625","","Forward","1","1083","1083","1777","0.0","95.75"
"Y:31723185-31724267","","Reverse","1","1083","1083","1777","0.0","95.75"
"Y:33622892-33623974","","Reverse","1","1083","1083","1777","0.0","95.75"
"Y:33690708-33691790","","Reverse","1","1083","1083","1777","0.0","95.75"
"Y:47370164-47371246","","Forward","1","1083","1083","1777","0.0","95.75"
"Y:47845190-47846272","","Reverse","1","1083","1083","1777","0.0","95.75"
"Y:60635583-60636665","","Reverse","1","1083","1083","1777","0.0","95.75"
"Y:4941421-4942503","","Reverse","1","1083","1083","1769","0.0","95.66"
"Y:28859555-28860637","","Reverse","1","1083","1083","1769","0.0","95.66"
"Y:29277216-29278298","","Forward","1","1083","1083","1769","0.0","95.66"
"Y:38885765-38886847","","Reverse","1","1083","1083","1769","0.0","95.66"
"Y:39462240-39463322","","Forward","1","1083","1083","1769","0.0","95.66"
"Y:39515124-39516206","","Forward","1","1083","1083","1769","0.0","95.66"
"Y:41717522-41718604","","Reverse","1","1083","1083","1769","0.0","95.66"
"Y:58903097-58904179","","Reverse","1","1083","1083","1769","0.0","95.66"
"JH584301:139300-140382","","Reverse","1","1083","1083","1769","0.0","95.66"
"JH584301:192180-193262","","Reverse","1","1083","1083","1769","0.0","95.66"
"Y:20548169-20549251","","Forward","1","1083","1083","1761","0.0","95.57"
"Y:43464855-43465937","","Reverse","1","1083","1083","1761","0.0","95.57"
"Y:44336674-44337756","","Reverse","1","1083","1083","1753","0.0","95.48"
"Y:14336215-14337296","","Forward","1","1083","1083","1743","0.0","95.38"
"Y:19048516-19049597","","Forward","1","1083","1083","1743","0.0","95.38"
"Y:20614989-20616071","","Forward","1","1083","1083","1737","0.0","95.29"
"Y:43853696-43854778","","Forward","1","1083","1083","1737","0.0","95.29"
"Y:4893424-4894507","","Reverse","1","1083","1084","1729","0.0","95.20"
"Y:40380441-40381523","Gm21882","Reverse","1","1083","1083","1729","0.0","95.20"
"Y:22933745-22934819","","Reverse","9","1083","1075","1722","0.0","95.26"
"Y:40445116-40446198","","Reverse","1","1083","1083","1722","0.0","95.11"
"Y:79245990-79247064","","Forward","9","1083","1075","1722","0.0","95.26"
"Y:12219543-12220625","","Forward","1","1083","1084","1720","0.0","95.11"
"Y:13014507-13015588","","Reverse","1","1083","1083","1720","0.0","95.11"
"Y:13223949-13225030","","Reverse","1","1083","1083","1720","0.0","95.11"
"Y:13349084-13350161","Gm21454","Reverse","5","1083","1079","1720","0.0","95.18"
"Y:13940636-13941717","","Forward","1","1083","1083","1720","0.0","95.11"
"Y:16931440-16932522","","Forward","1","1083","1084","1720","0.0","95.11"
"Y:17727500-17728581","","Reverse","1","1083","1083","1720","0.0","95.11"
"Y:17936712-17937793","Gm20831, Srsy","Reverse","1","1083","1083","1720","0.0","95.11"
"Y:18061833-18062910","","Reverse","5","1083","1079","1720","0.0","95.18"
"Y:18653380-18654461","","Forward","1","1083","1083","1720","0.0","95.11"
"Y:40652017-40653098","","Reverse","1","1083","1083","1720","0.0","95.11"
"Y:6492614-6493701","","Forward","1","1083","1089","1716","0.0","94.86"
"Y:73413924-73414998","","Forward","9","1083","1075","1714","0.0","95.16"
"Y:83457656-83458730","","Forward","9","1083","1075","1714","0.0","95.16"
"Y:13133513-13134594","","Reverse","1","1083","1083","1712","0.0","95.01"
"Y:13465600-13466681","","Reverse","1","1083","1083","1712","0.0","95.01"
"Y:17846287-17847368","","Reverse","1","1083","1083","1712","0.0","95.01"
"Y:40775786-40776867","","Reverse","1","1083","1083","1712","0.0","95.01"
"Y:14271344-14272426","","Forward","1","1083","1083","1706","0.0","94.92"
"Y:18983618-18984700","","Forward","1","1083","1083","1706","0.0","94.92"
"Y:22123526-22124600","","Reverse","9","1083","1075","1706","0.0","95.07"
"Y:37785712-37786786","","Reverse","9","1083","1075","1706","0.0","95.07"
"Y:38080667-38081741","","Reverse","9","1083","1075","1706","0.0","95.07"
"Y:50017187-50018261","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:53516027-53517101","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:55140110-55141184","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:62636922-62637996","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:66092556-66093630","","Reverse","9","1083","1075","1706","0.0","95.07"
"Y:68911737-68912811","","Reverse","9","1083","1075","1706","0.0","95.07"
"Y:75122254-75123328","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:76681442-76682516","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:78139393-78140467","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:80060299-80061373","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:80853423-80854497","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:81899272-81900346","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:84023767-84024841","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:84659329-84660403","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:87477319-87478393","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:87980226-87981300","","Forward","9","1083","1075","1706","0.0","95.07"
"Y:88983066-88984140","","Forward","9","1083","1075","1706","0.0","95.07"
"CHR_MG4211_PATCH:66145305-66146379","AC240971.1","Reverse","9","1083","1075","1706","0.0","95.07"
"Y:41405396-41406477","","Forward","1","1083","1083","1704","0.0","94.92"
"Y:28118855-28119929","","Reverse","9","1083","1075","1698","0.0","94.98"
"Y:28343931-28345005","","Reverse","9","1083","1075","1698","0.0","94.98"
"Y:35204316-35205390","","Reverse","9","1083","1075","1698","0.0","94.98"
"Y:38574609-38575683","","Reverse","9","1083","1075","1698","0.0","94.98"
"Y:48775517-48776591","","Forward","9","1083","1075","1698","0.0","94.98"
"Y:49497583-49498657","","Forward","9","1083","1075","1698","0.0","94.98"
"Y:51051565-51052639","","Forward","9","1083","1075","1698","0.0","94.98"
"Y:52706437-52707511","","Forward","9","1083","1075","1698","0.0","94.98"
"Y:54586271-54587345","","Forward","9","1083","1075","1698","0.0","94.98"
"Y:56420810-56421884","Gm29221","Forward","9","1083","1075","1698","0.0","94.98"
"Y:57113593-57114667","","Forward","9","1083","1075","1698","0.0","94.98"
"Y:61565778-61566852","Gm29206","Forward","9","1083","1075","1698","0.0","94.98"
"Y:62117238-62118312","","Forward","9","1083","1075","1698","0.0","94.98"
"Y:63672843-63673917","","Forward","9","1083","1075","1698","0.0","94.98"
"Y:65304098-65305172","","Forward","9","1083","1075","1698","0.0","94.98"
"Y:68367493-68368567","","Reverse","9","1083","1075","1698","0.0","94.98"
"Y:70368225-70369299","4932431L22Rik","Forward","9","1083","1075","1698","0.0","94.98"
"Y:70879266-70880340","","Forward","9","1083","1075","1698","0.0","94.98"
"Y:77245742-77246816","","Forward","9","1083","1075","1698","0.0","94.98"
"Y:82664285-82665359","","Forward","9","1083","1075","1698","0.0","94.98"
"Y:88290712-88291786","","Forward","9","1083","1075","1698","0.0","94.98"
"CHR_MG4213_PATCH:49489553-49490627","AC202135.1","Forward","9","1083","1075","1698","0.0","94.98"
"Y:75635162-75636235","","Forward","9","1083","1075","1696","0.0","94.98"
"Y:7073696-7074771","","Forward","9","1083","1076","1690","0.0","94.89"
"Y:8184362-8185436","","Forward","9","1083","1075","1690","0.0","94.88"
"Y:9010643-9011717","","Forward","9","1083","1075","1690","0.0","94.88"
