"Genomic Location","Overlapping Gene(s)","Orientation","Query start","Query end","Length","Score","E-val","%ID"
"5:17373180-17378028","Speer4f2","Forward","1","4849","4849","9448.0","0.0e+00","100.00"
"5:17477938-17480058","Speer4f1","Forward","1847","3965","2121","3931.0","0.0e+00","97.36"
"5:17476421-17477936","Speer4f1","Forward","325","1841","1517","2756.0","0.0e+00","96.37"
"5:27497979-27499528","Dpp6, Speer4b","Reverse","1842","3390","1552","2554.0","0.0e+00","91.75"
"5:25985147-25986719","Gm21698","Reverse","1843","3415","1574","2554.0","0.0e+00","90.85"
"5:26259630-26261189","Gm7361","Forward","1854","3412","1561","2548.0","0.0e+00","91.22"
"5:25938772-25940350","Gm21663","Reverse","1843","3415","1580","2539.0","0.0e+00","90.57"
"5:26055000-26056579","Gm7347","Reverse","1843","3415","1581","2522.0","0.0e+00","90.20"
"5:26035944-26037513","Speer4a","Reverse","1843","3413","1572","2494.0","0.0e+00","90.14"
"5:25950794-25952282","Gm21671","Reverse","1927","3415","1490","2419.0","0.0e+00","90.94"
"5:25922892-25924295","Gm21655","Reverse","1843","3246","1406","2270.0","0.0e+00","91.11"
"5:26019586-26020835","Gm5862","Reverse","1998","3246","1252","2010.0","0.0e+00","91.05"
"5:26086001-26087155","Gm10471","Reverse","1926","3081","1156","1856.0","0.0e+00","90.40"
"5:26102255-26103361","5031410I06Rik","Reverse","1843","2945","1107","1811.0","0.0e+00","91.24"
"5:26118405-26119438","Gm10220","Reverse","1843","2872","1034","1676.0","0.0e+00","90.91"
"5:15711366-15712196","Speer4cos, Speer4c","Reverse","2001","2831","831","1420.0","0.0e+00","92.90"
"5:14937554-14938392","Speer4e","Reverse","45","882","840","1418.0","0.0e+00","93.21"
"5:15528366-15529204","Gm21847, Gm21190","Reverse","45","882","841","1404.0","0.0e+00","93.22"
"5:15654181-15655011","Gm21847, 4930572O03Rik","Reverse","2001","2831","831","1400.0","0.0e+00","92.30"
"5:14978021-14978861","Gm10354","Reverse","45","882","844","1400.0","0.0e+00","93.01"
"5:15621138-15621968","Gm21847, Speer4d","Forward","2001","2831","831","1396.0","0.0e+00","92.06"
"5:14911992-14912821","Gm9758","Reverse","2001","2831","831","1394.0","0.0e+00","92.18"
"5:15579341-15580170","Gm21847, Gm30613, Gm21083","Forward","2001","2831","831","1373.0","0.0e+00","91.70"
"5:15473626-15474455","Gm43391, Gm21149","Reverse","2001","2831","831","1371.0","0.0e+00","91.46"
"5:15526385-15527215","Gm21847, Gm21190","Reverse","2001","2831","831","1371.0","0.0e+00","91.34"
"5:14976040-14976869","Gm10354","Reverse","2001","2831","831","1354.0","0.0e+00","90.97"
"5:14935596-14936399","Speer4e","Reverse","2001","2805","805","1332.0","0.0e+00","91.68"
"5:3029704-3030540","Gm3027","Forward","1997","2831","837","1217.0","0.0e+00","86.14"
"5:14914130-14914815","Gm9758","Reverse","45","731","687","1164.0","0.0e+00","93.45"
"5:26002041-26002740","Gm1979","Reverse","1843","2542","701","1164.0","0.0e+00","92.01"
"5:15577351-15578036","Gm21847, Gm30613, Gm21083","Forward","45","731","687","1160.0","0.0e+00","93.30"
"5:15032240-15032924","Gm17019","Reverse","45","731","687","1143.0","0.0e+00","92.87"
"5:15475764-15476449","Gm43391, Gm21149","Reverse","45","731","687","1140.0","0.0e+00","92.43"
"10:22041839-22042503","Gm8540","Reverse","2359","3027","669","1095.0","0.0e+00","91.48"
"5:26004080-26004713","Gm1979","Reverse","45","679","635","1078.0","0.0e+00","93.54"
"5:26120695-26121336","Gm10220","Reverse","45","687","643","1063.0","2.6e-311","92.07"
"5:25953697-25954330","Gm21671","Reverse","45","679","635","1054.0","1.2e-308","92.60"
"5:25987924-25988565","Gm21698","Reverse","45","687","643","1051.0","1.7e-307","91.76"
"5:26057867-26058496","Gm7347","Reverse","45","679","635","1050.0","2.0e-307","92.28"
"5:25941659-25942292","Gm21663","Reverse","45","679","635","1049.0","7.0e-307","92.13"
"5:26104648-26105277","5031410I06Rik","Reverse","45","679","635","1044.0","1.5e-305","92.13"
