"Genomic Location","Overlapping Gene(s)","Orientation","Query start","Query end","Length","Score","E-val","%ID"
"Y:57187188-57213362","Sly","Forward","1","26175","26175","51735","0.0","100.00"
"Y:55213702-55239871","Gm20931","Forward","1","26175","26189","51424","0.0","99.84"
"Y:75195838-75222058","Gm20814","Forward","1","26175","26280","50341","0.0","99.15"
"Y:54655442-54681660","Gm21894","Forward","1","26175","26251","50031","0.0","99.10"
"Y:38476061-38502256","Gm20897","Reverse","1","26175","26247","49938","0.0","99.03"
"Y:72554826-72581063","","Forward","1","26175","26281","49906","0.0","98.96"
"Y:84746667-84772902","Gm21409","Forward","1","26175","26281","49891","0.0","98.97"
"Y:22835086-22861274","Gm21366","Reverse","1","26175","26245","49885","0.0","99.01"
"Y:26750605-26776817","Gm20890","Reverse","1","26175","26252","49879","0.0","99.01"
"Y:27495726-27521938","Gm21488","Reverse","1","26175","26252","49875","0.0","99.01"
"Y:86602249-86628474","Gm29299","Forward","1","26175","26273","49871","0.0","98.96"
"Y:71692025-71718226","Gm20870","Forward","1","26175","26251","49843","0.0","98.97"
"Y:28245352-28271530","Gm20894","Reverse","1","26175","26241","49833","0.0","98.98"
"Y:75715304-75741549","Gm20850","Forward","1","26175","26291","49831","0.0","98.91"
"Y:64473248-64499452","Gm20908","Forward","1","26175","26256","49812","0.0","98.95"
"Y:51852102-51878300","Gm20920","Forward","1","26175","26254","49804","0.0","98.94"
"Y:79319547-79345707","Gm20916","Forward","1","26175","26239","49802","0.0","98.96"
"Y:73669297-73695486","Gm20903","Forward","1","26175","26251","49796","0.0","98.96"
"Y:50608233-50634461","Gm20883","Forward","1","26175","26273","49782","0.0","98.91"
"Y:52780022-52806254","Gm21258","Forward","1","26175","26280","49764","0.0","98.89"
"Y:89052800-89079019","Gm21294","Forward","1","26175","26271","49752","0.0","98.91"
"Y:65377684-65403917","Gm20736","Forward","1","26175","26282","49750","0.0","98.88"
"Y:22025164-22051371","Gm31571","Reverse","1","26175","26273","49713","0.0","98.85"
"Y:78212975-78239189","Gm29564","Forward","1","26175","26272","49713","0.0","98.87"
"Y:80133761-80159975","Gm21760","Forward","1","26175","26277","49699","0.0","98.85"
"Y:24701664-24727816","Gm36866","Reverse","1","26175","26242","49693","0.0","98.89"
"Y:35105684-35131851","Gm20855","Reverse","1","26175","26255","49673","0.0","98.86"
"Y:24188518-24214674","Gm36047","Reverse","1","26175","26250","49669","0.0","98.86"
"Y:26240951-26267099","Gm33571","Reverse","1","26175","26242","49665","0.0","98.87"
"Y:37233420-37259621","Gm20905","Reverse","1","26175","26268","49659","0.0","98.84"
"Y:53843931-53870150","Gm20929","Forward","1","26175","26274","49651","0.0","98.85"
"Y:36709098-36735308","Gm20835","Reverse","1","26175","26277","49624","0.0","98.81"
