"Genomic Location","Overlapping Gene(s)","Orientation","Query start","Query end","Length","Score","E-val","%ID"
"X:55226876-55243723","Slxl1","Forward","1","16848","16848","33300","0.0","100.00"
"X:54531173-54548008","Gm16405","Forward","1","16848","16871","32488","0.0","99.32"
"X:54622176-54639011","Gm16430","Forward","1","16848","16871","32488","0.0","99.32"
"X:54713191-54730005","Gm14595","Forward","1","16848","16870","32385","0.0","99.22"
"X:54236120-54249345","Gm14598","Forward","1","13283","13327","23101","0.0","96.77"
"X:55100863-55112446","Gm7958","Forward","5276","16848","11591","22544","0.0","99.59"
"X:54816249-54827784","Gm14590","Forward","5302","16848","11549","22532","0.0","99.67"
"X:54354367-54365929","Gm14596","Forward","5276","16848","11577","22502","0.0","99.59"
"X:54445410-54457003","Gm14594","Forward","5276","16848","11601","22500","0.0","99.50"
"X:55024515-55036101","Gm7950","Forward","5276","16848","11595","22463","0.0","99.48"
"X:55314164-55326657","Gm6660","Forward","4357","16848","12531","22324","0.0","97.49"
"X:55796660-55807798","Gm6664","Forward","1","11160","11167","21532","0.0","99.36"
"X:55433632-55444566","Gm14625","Forward","3405","14359","11002","18994","0.0","96.70"
"X:55551556-55560047","Gm16404","Forward","1","8544","8573","14628","0.0","96.44"
"X:55715294-55722263","Gm14622","Forward","9867","16848","6984","13294","0.0","99.07"
"X:55560286-55566110","Gm16404","Forward","8544","14357","5832","10240","0.0","97.17"
"X:54440117-54445400","Gm14594","Forward","1","5300","5307","10133","0.0","99.06"
"X:55019222-55024505","Gm7950","Forward","1","5300","5307","10133","0.0","99.06"
"X:54349077-54354357","Gm14596","Forward","1","5300","5305","10120","0.0","99.04"
"X:55095573-55100853","Gm7958","Forward","1","5300","5305","10120","0.0","99.04"
"X:54810840-54814874","Gm14590","Forward","1","4026","4036","7758","0.0","99.28"
"X:55430202-55433613","Gm14625","Forward","11","3416","3439","5623","0.0","95.46"
"X:55311137-55314148","Gm6660","Forward","1368","4373","3019","5445","0.0","97.85"
"X:27778853-27783348","Gm7386","Forward","5388","9866","4547","4882","0.0","88.50"
"X:29790881-29795389","Gm3657","Reverse","5388","9866","4559","4860","0.0","88.33"
"X:28786816-28791325","Gm7408","Forward","5388","9866","4559","4854","0.0","88.35"
"X:30689142-30693649","Gm7438","Forward","5388","9866","4559","4854","0.0","88.31"
"X:34881740-34886247","Gm2288","Reverse","5388","9866","4559","4854","0.0","88.31"
"X:24762765-24767265","Gm5935","Reverse","5388","9866","4553","4848","0.0","88.29"
"X:28135146-28139655","Gm7391","Forward","5388","9866","4561","4842","0.0","88.29"
"X:35215899-35220403","Gm2318","Reverse","5388","9866","4556","4835","0.0","88.28"
"X:29135394-29139906","Gm7415","Forward","5388","9866","4564","4831","0.0","88.21"
"X:55699500-55703094","Gm14622","Forward","1370","4988","3634","4831","0.0","91.72"
"X:26689323-26693823","Gm14525","Reverse","5388","9866","4551","4793","0.0","88.20"
"X:27933561-27938055","Gm10058","Reverse","5388","9866","4547","4777","0.0","88.17"
"X:28941347-28945839","Gm10096","Reverse","5388","9866","4547","4773","0.0","88.15"
"X:27481576-27486070","Gm10230","Reverse","5388","9866","4549","4750","0.0","88.04"
"X:28594532-28599026","Gm10147","Reverse","5388","9866","4549","4742","0.0","88.02"
"X:29985144-29989638","Gm10488","Forward","5388","9866","4549","4742","0.0","88.02"
"X:24487368-24491881","Gm5934","Reverse","5388","9866","4564","4714","0.0","87.84"
"X:25368573-25373047","Gm1989","Reverse","5388","9866","4539","4682","0.0","87.86"
"X:26037749-26042217","Gm5168","Reverse","5388","9866","4540","4613","0.0","87.67"
"X:24321340-24325854","Gm9440","Forward","5388","9866","4578","4582","0.0","87.35"
"X:54132539-54135409","Gm16428","Forward","5304","8161","2885","4214","0.0","93.34"
"X:54250986-54253354","Gm14598","Forward","14481","16848","2372","4141","0.0","97.13"
"X:55566118-55568500","Gm16404","Forward","14481","16848","2383","4036","0.0","96.39"
"X:55444572-55446935","Gm14625","Forward","14481","16848","2375","4026","0.0","96.38"
"X:55709651-55712498","Gm14622","Forward","7054","9869","2865","3959","0.0","92.25"
"X:26485330-26488544","Gm2005","Reverse","6684","9866","3246","3550","0.0","88.66"
"X:35068776-35072346","Gm10486","Forward","1391","4988","3634","3350","0.0","86.57"
"X:35405557-35409127","Gm14819","Forward","1391","4988","3634","3334","0.0","86.52"
"X:24966418-24969988","Gm2759","Reverse","1391","4988","3634","3326","0.0","86.49"
"X:27595042-27598612","Gm2092","Reverse","1391","4988","3634","3326","0.0","86.49"
"X:28288668-28292238","Gm4836","Reverse","1391","4988","3634","3326","0.0","86.49"
"X:28602938-28606508","Gm10147","Reverse","1391","4988","3634","3326","0.0","86.49"
"X:30838501-30842071","Gm10487","Reverse","1391","4988","3634","3326","0.0","86.49"
"X:27489980-27493550","Gm10230","Reverse","1391","4988","3634","3319","0.0","86.46"
"X:27941964-27945534","Gm10058","Reverse","1391","4988","3634","3319","0.0","86.46"
"X:28949748-28953318","Gm10096","Reverse","1391","4988","3634","3319","0.0","86.46"
"X:29977667-29981237","Gm10488","Forward","1391","4988","3634","3319","0.0","86.46"
"X:30331100-30334670","Gm14632","Forward","1391","4988","3634","3311","0.0","86.43"
"X:27771372-27774934","Gm7386","Forward","1391","4988","3625","3297","0.0","86.46"
"X:30140083-30143646","Gm3681","Reverse","1391","4988","3626","3297","0.0","86.46"
"X:35224317-35227879","Gm2318","Reverse","1391","4988","3625","3297","0.0","86.46"
"X:27334593-27338155","Gm7375","Forward","1391","4988","3625","3289","0.0","86.43"
"X:28779336-28782898","Gm7408","Forward","1391","4988","3625","3289","0.0","86.43"
"X:28447365-28450927","Gm7398","Forward","1391","4988","3625","3281","0.0","86.40"
"X:28456644-28459365","Gm7398","Forward","7148","9866","2746","3279","0.0","90.13"
"X:28127668-28131231","Gm7391","Forward","1391","4988","3626","3273","0.0","86.38"
"X:30681664-30685227","Gm7438","Forward","1391","4988","3626","3273","0.0","86.38"
"X:34890162-34893725","Gm2288","Reverse","1391","4988","3626","3273","0.0","86.38"
"X:27343885-27346606","Gm7375","Forward","7148","9866","2746","3271","0.0","90.09"
"X:29127915-29131479","Gm7415","Forward","1391","4988","3627","3269","0.0","86.35"
"X:26697740-26701307","Gm14525","Reverse","1391","4988","3634","3265","0.0","86.30"
"X:29799305-29802867","Gm3657","Reverse","1391","4988","3625","3265","0.0","86.34"
"X:30131645-30134364","Gm3681","Reverse","7148","9866","2746","3259","0.0","90.06"
"X:26930725-26934295","Gm6121","Reverse","1391","4988","3634","3255","0.0","86.24"
"X:29376454-29380024","Gm2066","Reverse","1391","4988","3634","3255","0.0","86.24"
"X:29643049-29646618","Gm14527","Reverse","1391","4988","3634","3245","0.0","86.21"
"X:30830065-30832789","Gm10487","Reverse","7148","9866","2745","3228","0.0","89.87"
