"Genomic Location","Overlapping Gene(s)","Orientation","Query start","Query end","Length","Score","E-val","%ID"
"Y:67045743-67048072","Ssty2","Reverse","1","2330","2330","4605","0.0","100.00"
"Y:22512351-22514683","Gm21065","Forward","1","2330","2333","4589","0.0","99.87"
"Y:80463106-80465434","Gm21257","Reverse","1","2330","2330","4587","0.0","99.91"
"Y:79664748-79667079","Gm21242","Reverse","1","2330","2333","4580","0.0","99.83"
"Y:69351104-69353432","Gm21160","Forward","1","2330","2330","4564","0.0","99.79"
"Y:82567383-82569714","Gm21333","Reverse","1","2330","2332","4550","0.0","99.70"
"Y:56018095-56020425","Gm21340","Reverse","1","2330","2331","4542","0.0","99.66"
"Y:69982736-69985065","Gm21524","Reverse","1","2330","2330","4542","0.0","99.66"
"Y:74011337-74013666","Gm21715","Reverse","1","2330","2330","4542","0.0","99.66"
"Y:54185847-54188175","Gm21302","Reverse","1","2330","2330","4540","0.0","99.66"
"Y:66739787-66742115","Gm20852","Reverse","1","2330","2330","4540","0.0","99.66"
"Y:34779628-34781949","Gm20853","Forward","1","2330","2331","4508","0.0","99.44"
"Y:84440141-84442470","Gm21380","Reverse","1","2330","2331","4469","0.0","99.27"
"Y:23029731-23032057","Gm21469","Forward","1","2330","2331","4447","0.0","99.14"
"Y:46755892-46758223","Gm21247","Forward","1","2330","2332","4447","0.0","99.14"
"Y:69016318-69018647","Gm20818","Forward","1","2330","2331","4445","0.0","99.14"
"Y:79148789-79151114","Gm20917","Reverse","1","2330","2331","4441","0.0","99.10"
"Y:82093684-82096008","Gm21728","Reverse","1","2330","2331","4439","0.0","99.10"
"Y:34485329-34487658","Gm21184","Forward","1","2330","2331","4437","0.0","99.10"
"Y:86434071-86436407","Gm20860","Reverse","1","2330","2338","4433","0.0","98.97"
"Y:48669635-48671966","Gm21281","Reverse","1","2330","2332","4431","0.0","99.06"
"Y:61459891-61462222","Gm21573","Reverse","1","2330","2332","4431","0.0","99.06"
"Y:76575587-76577916","Gm21163","Reverse","1","2330","2331","4429","0.0","99.06"
"Y:54488989-54491318","Gm21912","Reverse","1","2330","2333","4421","0.0","98.97"
"Y:70780579-70782907","Gm21808","Reverse","1","2330","2333","4419","0.0","98.97"
"Y:85888822-85891157","Gm21435","Reverse","1","2330","2336","4419","0.0","98.93"
