"Genomic Location","Overlapping Gene(s)","Orientation","Query start","Query end","Length","Score","E-val","%ID"
"Y:1010543-1028847","Eif2s3y","Forward","1","18305","18305","35328.0","0.0e+00","100.00"
"13:117180729-117181242","","Reverse","12193","12692","515","828.0","1.4e-240","91.65"
"18:24070325-24070704","","Forward","12017","12380","380","597.0","4.6e-171","90.79"
"5:130167384-130167717","","Forward","12358","12692","337","575.0","2.7e-164","93.18"
"7:26636579-26636968","","Reverse","12254","12629","391","570.0","1.0e-162","87.72"
"1:33383914-33384250","","Reverse","12361","12694","337","564.0","3.7e-161","91.99"
"5:130167060-130167370","","Forward","12048","12346","311","510.0","1.2e-144","92.60"
"7:51515253-51515576","Ano5","Forward","12360","12685","329","508.0","2.8e-144","89.97"
"3:102806936-102807252","","Reverse","12316","12629","317","504.0","6.5e-143","89.59"
"12:31175278-31175563","6030469F06Rik","Reverse","12017","12294","286","495.0","3.1e-140","94.76"
"15:16426648-16426948","","Reverse","12017","12308","301","492.0","2.2e-139","92.69"
"X:134521373-134521677","","Forward","12352","12654","306","474.0","6.1e-134","88.89"
"8:62218223-62218508","","Reverse","12017","12294","286","474.0","7.7e-134","92.66"
"1:7054994-7055299","","Reverse","12391","12692","306","472.0","2.2e-133","89.22"
"13:3531101-3531386","","Forward","12017","12294","286","472.0","3.4e-133","92.31"
"7:132180252-132180540","Fgfr2","Forward","12344","12629","290","460.0","1.2e-129","91.72"
"1:33384304-33384587","","Reverse","12017","12294","286","457.0","8.7e-129","92.31"
"7:132179930-132180217","Fgfr2","Forward","12017","12294","288","454.0","6.9e-128","91.32"
"13:5035360-5035642","","Forward","12017","12293","286","453.0","1.4e-127","90.91"
"3:102807259-102807547","","Reverse","12016","12294","289","443.0","1.4e-124","89.62"
"9:5412592-5412864","","Forward","12040","12310","277","430.0","1.2e-120","89.89"
"13:4826140-4826404","Gm5444","Forward","12431","12692","265","426.0","1.6e-119","90.94"
"19:31974260-31974503","","Reverse","12057","12294","244","426.0","1.7e-119","94.26"
"X:158305496-158305749","","Reverse","12051","12297","254","417.0","8.4e-117","91.73"
"11:95930765-95931005","","Reverse","12060","12294","241","416.0","1.8e-116","93.78"
"10:24043063-24043322","","Reverse","12429","12685","260","415.0","3.3e-116","90.77"
"3:7805501-7805756","","Forward","12433","12685","256","414.0","7.8e-116","91.41"
"X:79704217-79704461","","Reverse","12060","12297","245","413.0","1.4e-115","93.47"
"14:33584089-33584333","","Forward","12060","12297","245","410.0","1.1e-114","93.06"
"12:31175027-31175271","6030469F06Rik","Reverse","12316","12558","245","408.0","4.0e-114","91.43"
"19:21721848-21722092","","Forward","12060","12297","245","407.0","1.2e-113","93.06"
"X:84180097-84180337","Dmd","Forward","12017","12253","241","404.0","5.3e-113","94.19"
"15:3677331-3677575","","Reverse","12057","12294","245","401.0","4.6e-112","92.24"
"7:140757330-140757571","","Forward","12454","12692","242","400.0","8.9e-112","92.15"
"14:26956430-26956673","Appl1","Reverse","12014","12253","244","400.0","1.3e-111","92.62"
"15:16426393-16426632","","Reverse","12320","12557","240","400.0","1.6e-111","92.08"
"1:16867722-16867968","","Forward","12442","12685","247","399.0","2.6e-111","91.50"
"7:111834618-111834858","","Reverse","12017","12260","247","398.0","4.0e-111","92.31"
"14:18557250-18557483","","Forward","12017","12246","234","390.0","1.0e-108","93.59"
"18:24070804-24071046","","Forward","12454","12693","243","390.0","1.1e-108","90.53"
"6:75037461-75037696","","Reverse","12016","12247","236","390.0","1.1e-108","93.64"
"3:14434100-14434340","Gm8955","Reverse","12017","12253","241","390.0","1.5e-108","92.12"
"13:49602733-49602981","Cenpp","Reverse","12116","12353","250","388.0","4.8e-108","91.20"
"7:26636982-26637222","","Reverse","12017","12253","241","387.0","7.5e-108","91.70"
"10:40167290-40167523","Gm31992","Forward","12052","12279","234","387.0","1.3e-107","91.88"
"12:101311992-101312229","Gm18795","Reverse","12016","12253","242","385.0","3.5e-107","92.15"
"6:70157832-70158071","","Forward","12017","12252","240","384.0","6.7e-107","92.50"
"6:121722077-121722316","","Reverse","12017","12253","241","381.0","5.4e-106","91.29"
"1:174094449-174094681","","Reverse","12017","12245","233","379.0","2.8e-105","92.70"
"1:160624950-160625180","Rabgap1l","Reverse","12062","12286","231","378.0","3.6e-105","91.34"
"2:108051367-108051585","","Reverse","12037","12253","219","374.0","8.7e-104","93.61"
"5:68132768-68133000","Grxcr1","Forward","12385","12616","233","372.0","2.5e-103","89.70"
"9:4047976-4048195","","Reverse","12036","12253","220","372.0","2.9e-103","93.64"
"12:97840869-97841109","","Reverse","12352","12592","242","369.0","2.6e-102","88.02"
"1:5816913-5817151","","Forward","12084","12308","240","369.0","2.8e-102","90.42"
"3:14429671-14429890","Gm8955","Reverse","12036","12253","220","369.0","2.8e-102","92.73"
"6:121721659-121721928","","Reverse","12422","12686","273","368.0","5.9e-102","84.62"
"3:98733241-98733471","Zfp697","Reverse","12085","12308","232","368.0","6.7e-102","91.81"
"8:62217917-62218148","","Reverse","12385","12614","232","366.0","1.5e-101","90.09"
"13:3531504-3531731","","Forward","12468","12692","228","365.0","3.5e-101","91.23"
"9:38168143-38168386","","Forward","12019","12253","245","364.0","9.8e-101","90.20"
