"Genomic Location","Overlapping Gene(s)","Orientation","Query start","Query end","Length","Score","E-val","%ID"
"14:7006115-7027449","Gm10406","Reverse","1","21335","21335","41491.0","0.0e+00","100.00"
"14:7639719-7652281","Gm10128","Reverse","6355","18945","12594","23785.0","0.0e+00","98.61"
"14:4655034-4666404","Gm3239","Forward","5506","16891","11389","21617.0","0.0e+00","98.88"
"14:5373958-5382972","Gm3500","Reverse","5105","14126","9028","17104.0","0.0e+00","98.79"
"14:5726498-5735508","Gm3383, Gm3373","Reverse","5105","14122","9024","17096.0","0.0e+00","98.79"
"14:3214818-3223831","Gm17188, D830030K20Rik","Forward","5109","14132","9028","17014.0","0.0e+00","98.58"
"14:5446225-5455212","Gm3194","Reverse","5105","14102","9003","16983.0","0.0e+00","98.63"
"14:6875744-6884342","Gm3667","Reverse","5518","14126","8611","16425.0","0.0e+00","99.20"
"14:3954407-3962973","Gm3002","Forward","5506","14082","8580","16278.0","0.0e+00","99.00"
"14:5504203-5512226","Gm3488","Forward","2532","10548","8030","15202.0","0.0e+00","98.80"
"14:5151562-5159585","","Forward","2532","10548","8030","15198.0","0.0e+00","98.79"
"14:4417983-4425999","Gm3164","Forward","2535","10548","8022","15182.0","0.0e+00","98.74"
"14:6735685-6742883","Gm26680, Gm3636","Reverse","14127","21335","7210","13633.0","0.0e+00","98.60"
"14:6098818-6105773","Gm3468, Gm3476","Reverse","2835","9789","6960","13209.0","0.0e+00","98.82"
"14:19575323-19582279","Gm2237","Reverse","2835","9788","6960","13203.0","0.0e+00","98.79"
"14:6417318-6424264","Gm26630","Reverse","2835","9788","6960","13148.0","0.0e+00","98.66"
"14:6747231-6754188","Gm26680","Reverse","2835","9788","6962","13138.0","0.0e+00","98.55"
"14:3574859-3581483","Gm3005","Forward","2813","9439","6632","12586.0","0.0e+00","98.94"
"14:7300974-7306972","Gm3739","Reverse","8076","14089","6022","11132.0","0.0e+00","97.61"
"14:7553331-7559219","Gm3558","Reverse","8186","14086","5901","11127.0","0.0e+00","98.73"
"14:3335157-3340693","Gm2956","Forward","2532","8068","5543","10562.0","0.0e+00","99.10"
"14:7306985-7312220","Gm3739","Reverse","2835","8064","5238","9989.0","0.0e+00","99.03"
"14:7092340-7097405","Gm3696","Reverse","8065","13141","5077","9577.0","0.0e+00","98.68"
"14:7475563-7480461","4933406F09Rik, Gm3752","Reverse","8193","13097","4909","9272.0","0.0e+00","98.70"
"14:7548506-7553330","Gm3558","Reverse","14109","18936","4828","9180.0","0.0e+00","98.82"
"14:7469710-7474524","4933406F09Rik, Gm3752","Reverse","14127","18945","4820","9122.0","0.0e+00","98.65"
"14:6408265-6413025","Gm26630, Lamtor3-ps","Reverse","14136","18897","4764","9022.0","0.0e+00","98.64"
