"Genomic Location","Overlapping Gene(s)","Orientation","Query start","Query end","Length","Score","E-val","%ID"
"X:32649793-32651476","Gm5926","Forward","1","1684","1684","3299.0","0.0e+00","100.00"
"X:31961166-31962849","Gm21637","Forward","1","1684","1684","3288.0","0.0e+00","99.82"
"X:3835851-3837534","Spin2-ps1","Reverse","1","1684","1684","3284.0","0.0e+00","99.76"
"X:33233760-33235443","Spin2-ps6","Forward","1","1684","1684","3276.0","0.0e+00","99.64"
"X:33398491-33400174","Gm2854","Forward","1","1684","1684","3243.0","0.0e+00","98.99"
"X:32158713-32160396","Gm5923","Forward","1","1684","1684","3229.0","0.0e+00","98.69"
"X:4881453-4883136","Gm3757","Forward","1","1684","1684","3222.0","0.0e+00","98.63"
"X:33476932-33478615","Gm2892","Reverse","1","1684","1684","3220.0","0.0e+00","98.63"
"X:32437186-32438869","","Forward","1","1684","1684","3216.0","0.0e+00","98.46"
"X:5338818-5340501","Gm5924","Forward","1","1684","1684","3213.0","0.0e+00","98.46"
"X:31618166-31619849","Spin2e","Reverse","1","1684","1684","3204.0","0.0e+00","98.34"
"X:4673336-4675018","","Forward","1","1684","1684","3194.0","0.0e+00","98.22"
"X:4118298-4119981","Gm14349","Forward","1","1684","1684","3191.0","0.0e+00","98.22"
"X:3276806-3278487","Gm14332","Reverse","2","1684","1683","3190.0","0.0e+00","98.22"
"X:4454400-4456077","Gm9427","Forward","1","1684","1684","3187.0","0.0e+00","98.10"
"X:34237050-34238733","Spin2g","Reverse","1","1684","1684","3186.0","0.0e+00","98.10"
"X:31253748-31255431","Spin2f","Forward","1","1684","1684","3183.0","0.0e+00","97.86"
"X:33777778-33779461","","Reverse","1","1684","1684","3180.0","0.0e+00","97.98"
"X:33055408-33057091","","Forward","1","1684","1684","3179.0","0.0e+00","97.86"
"X:34606396-34608076","","Forward","1","1684","1684","3166.0","0.0e+00","97.98"
"X:73175302-73176989","Xlr5a, Spin2d","Reverse","1","1684","1688","3161.0","0.0e+00","97.57"
"X:74803929-74805610","Spin2-ps3","Forward","1","1684","1688","3152.0","0.0e+00","97.33"
"X:74889613-74890974","Spin2-ps4","Reverse","321","1684","1368","2542.0","0.0e+00","97.22"
"X:74677218-74678579","Spin2-ps2","Reverse","321","1684","1368","2527.0","0.0e+00","96.93"
"X:33830224-33831057","","Forward","311","1143","838","1370.0","0.0e+00","91.17"
"X:34566508-34567339","","Reverse","313","1143","836","1360.0","0.0e+00","90.91"
"X:32600829-32601631","","Reverse","313","1113","803","1355.0","0.0e+00","92.28"
"X:34296975-34297806","","Forward","311","1143","838","1347.0","0.0e+00","90.69"
"X:3327409-3328242","Gm14334","Forward","311","1143","838","1345.0","0.0e+00","90.45"
"X:4630652-4631391","","Reverse","313","1050","740","1247.0","0.0e+00","92.16"
"X:5277320-5278059","Gm9428","Reverse","313","1050","741","1223.0","0.0e+00","91.90"
"X:33353020-33353548","","Reverse","313","841","530","878.0","1.1e-255","91.70"
"X:31210937-31211468","","Reverse","310","841","533","875.0","8.8e-255","91.37"
"X:32318169-32318699","","Reverse","310","841","533","864.0","2.0e-251","91.18"
"X:33531015-33531413","","Forward","343","741","399","668.0","2.9e-192","91.48"
"X:4839886-4840277","Gm4726","Reverse","343","734","392","665.0","1.7e-191","92.09"
"X:4410190-4410581","Gm6019","Reverse","343","734","392","663.0","9.5e-191","91.84"
"X:33013496-33013887","","Reverse","343","734","392","663.0","9.5e-191","91.84"
"X:4077304-4077695","","Reverse","343","734","392","660.0","6.1e-190","91.58"
"X:74890978-74891296","","Reverse","1","319","319","610.0","7.8e-175","98.12"
"X:74678584-74678902","","Reverse","1","319","319","607.0","5.0e-174","97.81"
"X:33831064-33831425","","Forward","1146","1507","362","548.0","3.3e-156","87.02"
"X:32600436-32600783","","Reverse","1160","1507","348","543.0","8.5e-155","88.22"
"X:5276860-5277207","Gm9428","Reverse","1160","1507","348","542.0","2.1e-154","88.22"
"X:33352353-33352700","Gm2182","Reverse","1160","1507","348","539.0","1.3e-153","87.93"
"X:3328263-3328610","Gm14334","Forward","1160","1507","348","538.0","3.8e-153","87.93"
"X:33531613-33531960","Gm2231","Forward","1160","1507","348","536.0","1.5e-152","87.36"
"X:4839332-4839679","Gm4726","Reverse","1160","1507","348","536.0","1.5e-152","87.36"
"X:31210270-31210617","","Reverse","1160","1507","348","536.0","1.5e-152","87.36"
"X:33012942-33013289","","Reverse","1160","1507","348","536.0","1.5e-152","87.36"
"X:32317502-32317849","","Reverse","1160","1507","348","534.0","4.9e-152","87.36"
"X:4409636-4409983","Gm6019","Reverse","1160","1507","348","533.0","9.7e-152","87.07"
"X:4076750-4077097","Gm14350","Reverse","1160","1507","348","531.0","3.1e-151","87.07"
"X:34566142-34566487","","Reverse","1160","1507","348","527.0","8.0e-150","87.64"
"X:34297827-34298174","","Forward","1160","1507","348","526.0","1.2e-149","87.07"
"X:153833325-153833743","Spin2c","Forward","999","1417","419","511.0","6.2e-145","78.28"
"X:31210638-31210933","","Reverse","843","1143","301","494.0","4.7e-140","91.69"
"X:32317870-32318165","","Reverse","843","1143","301","494.0","4.7e-140","91.69"
"X:33352721-33353016","Gm2182","Reverse","843","1143","301","493.0","1.3e-139","91.69"
