"Genomic Location","Overlapping Gene(s)","Orientation","Query start","Query end","Length","Score","E-val","%ID"
"X:123890522-123893407","Astx5","Reverse","1","2886","2886","5600.0","0.0e+00","100.00"
"X:123449004-123451890","Astx2","Reverse","1","2886","2887","5563.0","0.0e+00","99.65"
"X:126042545-126045431","Astx3","Forward","1","2886","2887","5515.0","0.0e+00","99.17"
"X:124407642-124410527","Astx1a","Forward","1","2886","2886","5510.0","0.0e+00","99.06"
"X:124911237-124914122","Astx1b","Forward","1","2886","2886","5510.0","0.0e+00","99.06"
"X:125342644-125345529","","Forward","1","2886","2886","5510.0","0.0e+00","99.06"
"X:125735043-125737928","Astx1c","Forward","1","2886","2886","5510.0","0.0e+00","99.06"
"X:124530162-124533047","Astx4a","Forward","1","2886","2887","5496.0","0.0e+00","99.06"
"X:125605682-125608567","Astx4c","Forward","1","2886","2887","5496.0","0.0e+00","99.06"
"X:124659500-124662385","Astx4b","Forward","1","2886","2887","5496.0","0.0e+00","99.06"
"X:125917810-125920696","Astx4d","Forward","1","2886","2888","5495.0","0.0e+00","99.03"
"X:123210420-123212718","Astx6","Reverse","588","2886","2299","4349.0","0.0e+00","98.61"
"X:123002786-123004786","","Reverse","1","1995","2003","3527.0","0.0e+00","95.26"
"Y:90604194-90605973","Gm28300","Reverse","1","1776","1781","3062.0","0.0e+00","94.10"
"Y:47768314-47770093","","Reverse","1","1776","1781","3060.0","0.0e+00","94.05"
"Y:60558708-60560487","Gm28690","Reverse","1","1776","1781","3060.0","0.0e+00","94.05"
"Y:43452304-43454023","Gm28568","Reverse","1","1720","1722","2971.0","0.0e+00","94.37"
"Y:28847117-28848836","Gm28725","Reverse","1","1719","1721","2967.0","0.0e+00","94.13"
"Y:89933412-89935122","Gm28930","Reverse","1","1711","1713","2939.0","0.0e+00","94.16"
"Y:39159069-39160718","Gm29497","Reverse","1021","2662","1651","2821.0","0.0e+00","93.94"
"Y:30155129-30156675","Gm29315","Forward","1","1547","1548","2660.0","0.0e+00","93.93"
"Y:47833275-47834821","Gm29373","Reverse","1","1547","1548","2660.0","0.0e+00","93.93"
"Y:60623668-60625214","Gm28687","Reverse","1","1547","1548","2660.0","0.0e+00","93.93"
"Y:45811571-45813117","Gm28460","Forward","1","1547","1548","2657.0","0.0e+00","93.86"
"Y:46910953-46912499","Gm28550","Reverse","1","1547","1548","2657.0","0.0e+00","93.86"
"Y:59772564-59774110","Gm29132","Reverse","1","1547","1548","2657.0","0.0e+00","93.86"
"Y:58427000-58428546","Gm28326","Forward","1","1547","1548","2656.0","0.0e+00","93.86"
"Y:31778465-31780011","Gm28298","Reverse","1","1547","1548","2656.0","0.0e+00","93.86"
"Y:30882229-30883775","Gm29581","Reverse","1","1547","1548","2656.0","0.0e+00","93.86"
"Y:58957208-58958754","Gm28073","Reverse","1","1547","1548","2656.0","0.0e+00","93.86"
"Y:59023509-59025055","Gm28074","Reverse","1","1547","1548","2656.0","0.0e+00","93.86"
"Y:32755513-32757059","Gm28761","Reverse","1","1547","1548","2653.0","0.0e+00","93.80"
"Y:33678554-33680100","Gm28521","Reverse","1","1547","1548","2653.0","0.0e+00","93.80"
"Y:41445713-41447254","Gm28425","Forward","1","1542","1543","2642.0","0.0e+00","93.78"
"Y:13980925-13982466","Gm37467","Forward","1","1542","1543","2621.0","0.0e+00","93.52"
"Y:18693701-18695242","Gm38013","Forward","1","1542","1543","2621.0","0.0e+00","93.52"
"Y:13211510-13213051","Gm37252","Reverse","1","1542","1543","2618.0","0.0e+00","93.45"
"Y:13308451-13309992","Gm21454, Gm37147","Reverse","1","1542","1543","2614.0","0.0e+00","93.39"
"Y:18021217-18022758","","Reverse","1","1542","1543","2614.0","0.0e+00","93.39"
"Y:86219687-86221235","Gm28218","Forward","1","1546","1549","2599.0","0.0e+00","93.16"
"Y:81083409-81084956","","Forward","1","1546","1548","2583.0","0.0e+00","92.83"
"Y:21892904-21894450","Gm37690","Reverse","1","1546","1548","2581.0","0.0e+00","92.89"
"Y:35763131-35764671","Gm28463","Reverse","1","1546","1548","2579.0","0.0e+00","92.70"
"Y:13424911-13426343","Gm37870","Reverse","1","1433","1434","2448.0","0.0e+00","93.65"
"Y:17924386-17925818","Gm20831, Gm37286","Reverse","1","1433","1434","2424.0","0.0e+00","93.31"
"Y:46848699-46850113","Gm29210","Reverse","1","1414","1416","2415.0","0.0e+00","93.64"
"Y:29560138-29561552","Gm28130","Reverse","1","1414","1416","2413.0","0.0e+00","93.64"
"Y:32495879-32497293","Gm28764","Reverse","1","1414","1416","2413.0","0.0e+00","93.64"
"Y:33384143-33385557","Gm28518","Reverse","1","1414","1416","2413.0","0.0e+00","93.64"
"Y:57822992-57824406","Gm28962","Reverse","1","1414","1416","2413.0","0.0e+00","93.64"
"Y:44156083-44157497","Gm28278","Reverse","1","1414","1416","2409.0","0.0e+00","93.50"
"Y:58690064-58691478","Gm28284","Reverse","1","1414","1416","2408.0","0.0e+00","93.57"
"Y:30614631-30616045","Gm28089","Reverse","1","1414","1416","2399.0","0.0e+00","93.43"
"Y:31510901-31512315","Gm28488","Reverse","1","1414","1416","2399.0","0.0e+00","93.43"
"Y:59710980-59712390","Gm29130","Reverse","1","1414","1416","2399.0","0.0e+00","93.43"
"Y:42461035-42462451","Gm29274","Reverse","1","1414","1418","2387.0","0.0e+00","93.23"
"Y:51495778-51497188","Gm28316","Forward","1","1409","1411","2382.0","0.0e+00","93.34"
"Y:64117038-64118448","Gm29628","Forward","1","1409","1411","2382.0","0.0e+00","93.34"
"Y:28106672-28108082","Gm28799","Reverse","1","1409","1411","2382.0","0.0e+00","93.34"
"Y:85305449-85306859","Gm28971","Forward","1","1409","1411","2382.0","0.0e+00","93.27"
"Y:85665933-85667343","Gm29090, Gm28152","Forward","1","1409","1411","2382.0","0.0e+00","93.27"
"Y:83192071-83193481","Gm28832","Forward","1","1409","1411","2380.0","0.0e+00","93.27"
"Y:7884803-7886213","Gm28570","Forward","1","1409","1411","2378.0","0.0e+00","93.27"
"Y:7415694-7417104","Gm28394","Forward","1","1409","1411","2378.0","0.0e+00","93.27"
"Y:52940850-52942260","Gm28733","Forward","1","1409","1411","2378.0","0.0e+00","93.27"
"Y:65538514-65539924","Gm29584","Forward","1","1409","1411","2378.0","0.0e+00","93.27"
"Y:71630309-71631719","Gm28482, Gm28485","Forward","1","1409","1411","2378.0","0.0e+00","93.27"
"Y:36274646-36276056","Gm28332","Reverse","1","1409","1411","2378.0","0.0e+00","93.27"
"Y:89222411-89223821","Gm28672","Forward","1","1409","1411","2377.0","0.0e+00","93.20"
"Y:75876372-75877782","","Forward","1","1409","1411","2375.0","0.0e+00","93.20"
"Y:26611942-26613352","Gm28853","Reverse","1","1409","1411","2375.0","0.0e+00","93.20"
"Y:27357027-27358437","Gm29021","Reverse","1","1409","1411","2375.0","0.0e+00","93.20"
"Y:72709582-72710992","","Forward","1","1409","1411","2375.0","0.0e+00","93.20"
"Y:24565814-24567224","Gm37434","Reverse","1","1409","1411","2375.0","0.0e+00","93.20"
"Y:24052611-24054021","Gm37687","Reverse","1","1409","1411","2375.0","0.0e+00","93.20"
"Y:26105024-26106434","Gm37346","Reverse","1","1409","1411","2375.0","0.0e+00","93.20"
"Y:25078824-25080234","Gm37071","Reverse","1","1409","1411","2375.0","0.0e+00","93.20"
"Y:25591901-25593311","Gm37875","Reverse","1","1409","1411","2375.0","0.0e+00","93.20"
