"Genomic Location","Overlapping Gene(s)","Orientation","Query start","Query end","Length","Score","E-val","%ID"
"Y:90603501-90605864","Gm28300","Reverse","1","2364","2364","4588.0","0.0e+00","100.00"
"Y:34209370-34211733","Gm29655","Forward","1","2364","2364","4574.0","0.0e+00","99.79"
"Y:45874035-45876398","Gm28456","Forward","1","2364","2364","4571.0","0.0e+00","99.75"
"Y:58491793-58494156","Gm28325","Forward","1","2364","2364","4569.0","0.0e+00","99.75"
"Y:46847641-46850004","Gm29210","Reverse","1","2364","2364","4569.0","0.0e+00","99.75"
"Y:30423567-30425930","Gm28091","Forward","1","2364","2364","4568.0","0.0e+00","99.70"
"Y:32305046-32307409","Gm28170","Forward","1","2364","2364","4565.0","0.0e+00","99.66"
"Y:42856094-42858456","","Forward","1","2364","2364","4563.0","0.0e+00","99.75"
"Y:43865261-43867624","Gm28280","Forward","1","2364","2364","4557.0","0.0e+00","99.62"
"Y:28846364-28848727","Gm28725","Reverse","1","2364","2364","4557.0","0.0e+00","99.62"
"Y:47767624-47769984","","Reverse","1","2364","2364","4557.0","0.0e+00","99.62"
"Y:60558018-60560378","Gm28690","Reverse","1","2364","2364","4557.0","0.0e+00","99.62"
"Y:33163600-33165961","Gm29191","Forward","1","2364","2364","4553.0","0.0e+00","99.70"
"Y:31290381-31292742","Gm28486","Forward","1","2364","2364","4551.0","0.0e+00","99.66"
"Y:38872635-38874998","Gm28176","Reverse","1","2364","2364","4549.0","0.0e+00","99.49"
"Y:29219692-29222056","Gm28127","Forward","1","2364","2365","4531.0","0.0e+00","99.32"
"Y:42793763-42796127","","Forward","1","2364","2365","4528.0","0.0e+00","99.28"
"Y:47314562-47316926","Gm28697","Forward","1","2364","2365","4524.0","0.0e+00","99.24"
"Y:32244058-32246421","Gm28295","Forward","1","2364","2365","4521.0","0.0e+00","99.28"
"Y:32181634-32183997","Gm28296","Forward","1","2364","2365","4517.0","0.0e+00","99.24"
"Y:34148855-34151218","Gm28464","Forward","1","2364","2365","4517.0","0.0e+00","99.24"
"Y:20559991-20562355","Gm36467","Forward","1","2364","2365","4515.0","0.0e+00","99.15"
"Y:30155238-30157598","Gm29315","Forward","1","2364","2365","4513.0","0.0e+00","99.15"
"Y:34086381-34088745","Gm29532","Forward","1","2364","2365","4510.0","0.0e+00","99.11"
"Y:45811680-45814040","Gm28460","Forward","1","2364","2365","4509.0","0.0e+00","99.11"
"Y:58427109-58429470","Gm28326","Forward","1","2364","2366","4503.0","0.0e+00","99.11"
"Y:14282472-14284836","Gm30353","Forward","1","2364","2365","4493.0","0.0e+00","98.90"
"Y:18994762-18997125","Gm34716","Forward","1","2363","2364","4491.0","0.0e+00","98.90"
"Y:40431918-40434282","Gm28850","Reverse","1","2364","2365","4484.0","0.0e+00","98.82"
"Y:89608084-89610441","Gm28673","Reverse","1","2359","2359","4341.0","0.0e+00","97.29"
"Y:39411845-39414100","Gm29498","Forward","110","2364","2256","4301.0","0.0e+00","99.11"
"Y:43803124-43805379","Gm29286","Forward","110","2364","2256","4291.0","0.0e+00","98.98"
"Y:29156820-29159075","Gm28129","Forward","110","2364","2256","4282.0","0.0e+00","98.89"
"Y:41445822-41448182","Gm28425","Forward","1","2364","2364","4280.0","0.0e+00","96.36"
"Y:47252191-47254445","Gm28565","Forward","110","2364","2256","4280.0","0.0e+00","98.89"
"Y:20497536-20499791","Gm36261","Forward","110","2364","2256","4276.0","0.0e+00","98.85"
"Y:13423874-13426234","Gm37870","Reverse","1","2364","2364","4274.0","0.0e+00","96.32"
"Y:48185761-48188014","Gm29166","Forward","110","2364","2256","4272.0","0.0e+00","98.89"
"Y:60115104-60117357","Gm28889","Forward","110","2364","2256","4272.0","0.0e+00","98.89"
"Y:90275248-90277501","Gm29504","Forward","110","2364","2256","4267.0","0.0e+00","98.80"
"Y:60976151-60978401","","Forward","113","2364","2253","4266.0","0.0e+00","98.89"
"Y:13210582-13212942","Gm37252","Reverse","1","2364","2364","4265.0","0.0e+00","96.28"
"Y:17923349-17925709","Gm20831, Gm37286","Reverse","1","2364","2364","4265.0","0.0e+00","96.28"
