"Genomic Location","Overlapping Gene(s)","Orientation","Query start","Query end","Length","Score","E-val","%ID"
"Y:13222950-13224567","Gm21828","Reverse","1","1618","1618","3198","0.0","100.00"
"Y:17935713-17937330","Gm20831, Srsy","Reverse","1","1618","1618","3198","0.0","100.00"
"Y:13348085-13349702","Gm21454, Gm21725","Reverse","1","1618","1618","3190","0.0","99.94"
"Y:18060834-18062451","Gm21764","Reverse","1","1618","1618","3190","0.0","99.94"
"Y:13132514-13134131","Gm21891","Reverse","1","1618","1618","3182","0.0","99.88"
"Y:17845288-17846905","Gm21904","Reverse","1","1618","1618","3182","0.0","99.88"
"Y:40651018-40652635","","Reverse","1","1618","1618","3174","0.0","99.81"
"Y:14059832-14061448","","Forward","1","1618","1618","3149","0.0","99.63"
"Y:18772598-18774214","","Forward","1","1618","1618","3149","0.0","99.63"
"Y:13464601-13466218","Gm21866","Reverse","1","1618","1618","3143","0.0","99.57"
"Y:13013509-13015125","","Reverse","1","1618","1618","3133","0.0","99.51"
"Y:17726502-17728118","","Reverse","1","1618","1618","3133","0.0","99.51"
"Y:13941099-13942716","Gm21767","Forward","1","1618","1618","3127","0.0","99.44"
"Y:18653843-18655460","Gm21822","Forward","1","1618","1618","3127","0.0","99.44"
"Y:41405859-41407476","Gm21800","Forward","1","1618","1618","3111","0.0","99.32"
"Y:40774787-40776404","Gm21797","Reverse","1","1618","1618","3095","0.0","99.20"
"Y:6237017-6238633","Gm29193, Gm21746","Reverse","1","1618","1618","2990","0.0","98.39"
"Y:36806700-36808318","","Reverse","1","1618","1619","2953","0.0","98.09"
"Y:37330983-37332601","","Reverse","1","1618","1619","2953","0.0","98.09"
"Y:28342932-28344550","","Reverse","1","1618","1619","2945","0.0","98.02"
"Y:24281009-24282627","","Reverse","1","1618","1619","2937","0.0","97.96"
"Y:24794162-24795780","Gm21921","Reverse","1","1618","1619","2937","0.0","97.96"
"Y:26848231-26849849","","Reverse","1","1618","1619","2937","0.0","97.96"
"Y:27593345-27594963","","Reverse","1","1618","1619","2937","0.0","97.96"
"Y:87980681-87982299","","Forward","1","1618","1619","2937","0.0","97.96"
"Y:8401207-8402825","","Forward","1","1618","1619","2929","0.0","97.90"
"Y:25307279-25308897","Gm21773","Reverse","1","1618","1619","2929","0.0","97.90"
"Y:25820335-25821953","","Reverse","1","1618","1619","2929","0.0","97.90"
"Y:26333477-26335095","","Reverse","1","1618","1619","2929","0.0","97.90"
"Y:27823546-27825164","","Reverse","1","1618","1619","2929","0.0","97.90"
"Y:37784713-37786331","","Reverse","1","1618","1619","2929","0.0","97.90"
"Y:48775972-48777590","","Forward","1","1618","1619","2929","0.0","97.90"
"Y:51778949-51780567","","Forward","1","1618","1619","2929","0.0","97.90"
"Y:52706892-52708510","","Forward","1","1618","1619","2929","0.0","97.90"
"Y:61566233-61567851","Gm29206","Forward","1","1618","1619","2929","0.0","97.90"
"Y:64400082-64401700","","Forward","1","1618","1619","2929","0.0","97.90"
"Y:65304553-65306171","","Forward","1","1618","1619","2929","0.0","97.90"
"Y:84024222-84025840","","Forward","1","1618","1619","2929","0.0","97.90"
"Y:86529258-86530876","","Forward","1","1618","1619","2929","0.0","97.90"
"JH584300:133783-135401","","Reverse","1","1618","1619","2929","0.0","97.90"
"Y:10615726-10617339","Gm21900","Forward","1","1618","1618","2925","0.0","97.84"
"Y:27078548-27080166","","Reverse","1","1618","1619","2921","0.0","97.84"
"Y:36508311-36509929","","Reverse","1","1618","1619","2921","0.0","97.84"
"Y:55140565-55142183","","Forward","1","1618","1619","2921","0.0","97.84"
"Y:57114048-57115666","","Forward","1","1618","1619","2921","0.0","97.84"
"Y:67856109-67857727","","Reverse","1","1618","1619","2921","0.0","97.84"
"Y:88291167-88292785","","Forward","1","1618","1619","2921","0.0","97.84"
"Y:76159567-76161184","","Forward","1","1618","1619","2911","0.0","97.78"
"Y:6493077-6494700","","Forward","1","1618","1625","2907","0.0","97.60"
"Y:8664432-8666050","","Forward","1","1618","1619","2905","0.0","97.71"
"Y:21065121-21066737","","Reverse","1","1618","1619","2905","0.0","97.71"
"Y:50533447-50535065","","Forward","1","1618","1619","2905","0.0","97.71"
"Y:63153456-63155074","","Forward","1","1618","1619","2905","0.0","97.71"
"Y:68910738-68912356","","Reverse","1","1618","1619","2905","0.0","97.71"
"Y:69254261-69255879","","Reverse","1","1618","1619","2905","0.0","97.71"
"Y:71396282-71397900","","Forward","1","1618","1619","2905","0.0","97.71"
"Y:72481749-72483367","","Forward","1","1618","1619","2905","0.0","97.71"
"Y:76681897-76683515","","Forward","1","1618","1619","2905","0.0","97.71"
"Y:85988766-85990383","","Forward","1","1618","1619","2903","0.0","97.71"
"Y:22122527-22124145","","Reverse","1","1618","1619","2898","0.0","97.65"
"Y:38573612-38575228","","Reverse","1","1618","1619","2898","0.0","97.65"
"Y:50017642-50019260","","Forward","1","1618","1619","2898","0.0","97.65"
"Y:62637377-62638995","","Forward","1","1618","1619","2898","0.0","97.65"
"Y:70879721-70881339","","Forward","1","1618","1619","2898","0.0","97.65"
"Y:80060754-80062372","","Forward","1","1618","1619","2898","0.0","97.65"
"Y:80853878-80855496","","Forward","1","1618","1619","2898","0.0","97.65"
"Y:81384995-81386613","","Forward","1","1618","1619","2898","0.0","97.65"
"Y:86208316-86209933","","Forward","1","1618","1619","2896","0.0","97.65"
"Y:9296458-9298076","","Forward","1","1618","1619","2890","0.0","97.59"
