"Genomic Location","Overlapping Gene(s)","Orientation","Query start","Query end","Length","Score","E-val","%ID"
"X:94188707-94212862","Eif2s3x","Reverse","1","24156","24156","46906.0","0.0e+00","100.00"
"X:33506946-33509159","Gm2223","Forward","21940","24153","2214","4298.0","0.0e+00","99.91"
"2:144749049-144749495","Dtd1","Reverse","5719","6164","447","753.0","7.5e-218","92.17"
"2:26756163-26756620","","Reverse","5706","6164","462","751.0","2.2e-217","91.99"
"15:26528300-26528748","","Reverse","5718","6164","449","749.0","7.9e-217","91.98"
"5:65283771-65284238","Rfc1","Reverse","5706","6165","468","743.0","4.7e-215","89.74"
"16:17534014-17534467","","Reverse","5716","6165","454","740.0","7.0e-214","90.97"
"13:52245513-52245980","","Reverse","5706","6165","468","739.0","1.1e-213","89.32"
"1:86848585-86849038","Dis3l2","Reverse","5705","6156","456","738.0","2.2e-213","91.23"
"4:100082405-100082850","","Reverse","5719","6164","447","734.0","3.3e-212","91.72"
"3:13428547-13429002","","Forward","5709","6161","456","734.0","4.2e-212","90.79"
"4:126797588-126798050","AU040320","Reverse","5708","6164","464","733.0","8.6e-212","89.66"
"3:80094248-80094696","A330069K06Rik","Reverse","5718","6165","449","732.0","1.2e-211","90.65"
"3:60047450-60047917","","Reverse","5697","6165","470","731.0","2.4e-211","89.36"
"3:93656425-93656885","","Reverse","5705","6164","461","731.0","3.2e-211","90.02"
"1:88695495-88695945","Arl4c","Forward","5718","6165","451","730.0","6.1e-211","90.91"
"7:39606150-39606596","","Forward","5719","6164","447","728.0","1.6e-210","90.83"
"2:139712500-139712947","Ism1","Reverse","5719","6165","448","728.0","2.8e-210","90.62"
"2:142723211-142723674","Kif16b","Reverse","5705","6163","467","727.0","4.2e-210","89.29"
"2:133822440-133822885","","Reverse","5720","6164","446","727.0","5.6e-210","90.81"
"7:135276161-135276607","Gm45339","Forward","5719","6164","447","726.0","1.2e-209","90.38"
"18:11567219-11567662","","Reverse","5722","6165","445","725.0","1.3e-209","90.79"
"18:79921176-79921615","","Reverse","5724","6164","442","723.0","6.7e-209","91.86"
"16:41078465-41078925","Lsamp","Forward","5706","6165","461","723.0","6.8e-209","89.37"
"14:17939301-17939746","Thrb, Gm48321","Reverse","5720","6164","446","720.0","6.5e-208","90.58"
"13:100471077-100471519","Gtf2h2","Forward","5719","6162","447","719.0","9.2e-208","91.95"
"5:127648667-127649112","Glt1d1","Reverse","5721","6165","446","719.0","1.0e-207","90.13"
"1:101754568-101755027","","Forward","5716","6167","460","719.0","1.0e-207","88.91"
"12:13263184-13263624","","Forward","5726","6165","441","717.0","3.3e-207","90.48"
"X:92149856-92150302","Mageb18","Forward","5719","6164","447","716.0","7.4e-207","90.16"
"3:136161722-136162169","Gm31243, Bank1","Forward","5719","6165","448","716.0","8.9e-207","89.96"
"4:11250287-11250727","Ints8","Reverse","5723","6165","444","716.0","1.2e-206","90.54"
"7:37238566-37239023","","Forward","5709","6165","459","715.0","1.3e-206","89.98"
"3:153558464-153558909","St6galnac3","Reverse","5721","6165","447","715.0","1.4e-206","90.83"
"2:38967545-38968008","","Reverse","5705","6165","464","713.0","7.0e-206","89.01"
"1:143657392-143657820","Cdc73","Reverse","5722","6149","429","709.0","1.3e-204","91.61"
"1:32129716-32130160","","Forward","5722","6165","445","708.0","1.9e-204","89.44"
"2:17816602-17817050","","Forward","5716","6165","451","707.0","6.0e-204","89.14"
"6:137869051-137869503","","Forward","5717","6160","453","706.0","1.2e-203","89.40"
"3:57916519-57916965","","Forward","5718","6161","447","705.0","1.6e-203","89.71"
"6:14892728-14893173","","Reverse","5720","6164","447","705.0","2.4e-203","90.38"
"13:12371484-12371904","","Reverse","5744","6164","422","704.0","3.1e-203","92.18"
"11:10632633-10633082","","Forward","5722","6165","450","703.0","6.0e-203","89.11"
"5:36724722-36725159","","Reverse","5729","6165","438","702.0","1.4e-202","89.73"
"8:57930195-57930635","Galntl6","Reverse","5719","6165","448","700.0","4.3e-202","89.29"
"17:88269621-88270066","Gm31615","Reverse","5715","6159","447","699.0","9.4e-202","90.16"
"1:14963535-14963979","","Forward","5722","6165","445","696.0","8.5e-201","88.54"
"5:101384900-101385348","","Forward","5719","6165","450","695.0","1.7e-200","89.33"
"4:92839589-92840024","","Reverse","5729","6164","437","692.0","1.6e-199","90.16"
"2:83751942-83752394","Itgav, Gm13684","Forward","5715","6165","454","692.0","1.7e-199","89.21"
"2:77240426-77240870","Sestd1","Forward","5718","6161","446","692.0","1.8e-199","89.69"
"2:104077010-104077469","Cd59b","Reverse","5711","6164","462","691.0","2.5e-199","87.66"
"2:88940570-88941014","","Reverse","5720","6164","446","691.0","2.9e-199","88.79"
"3:29580346-29580767","Egfem1","Reverse","5744","6165","423","690.0","5.3e-199","91.02"
"1:153796769-153797220","Rgsl1","Reverse","5720","6164","453","690.0","7.8e-199","88.08"
"4:89994337-89994792","","Forward","5712","6165","457","689.0","9.3e-199","89.06"
"1:16403517-16403967","Stau2","Forward","5716","6165","452","689.0","1.5e-198","88.72"
"10:49490128-49490583","Grik2","Forward","5716","6163","456","686.0","8.8e-198","87.94"
"4:20482301-20482731","Nkain3","Reverse","5734","6164","432","683.0","6.1e-197","89.81"
"1:74710750-74711171","","Reverse","5744","6164","422","681.0","2.8e-196","90.28"
"4:14340613-14341063","","Reverse","5720","6167","452","681.0","3.7e-196","88.50"
"11:18788896-18789350","","Reverse","5719","6165","455","680.0","4.7e-196","87.25"
"X:6978926-6979315","","Reverse","5769","6158","390","678.0","3.2e-195","92.82"
"2:106294434-106294878","Dcdc5","Forward","5719","6164","447","677.0","4.1e-195","88.14"
"4:65786782-65787210","Astn2","Forward","5734","6161","430","676.0","1.1e-194","90.23"
"1:22295244-22295669","Rims1","Forward","5741","6165","426","674.0","3.9e-194","89.67"
"2:51904205-51904627","","Reverse","5744","6165","424","671.0","2.4e-193","90.57"
"4:27396055-27396501","","Forward","5720","6165","447","665.0","1.7e-191","87.70"
"5:22728522-22728943","6030443J06Rik","Forward","5744","6164","422","663.0","7.2e-191","89.10"
"6:75286731-75287172","","Reverse","5722","6165","446","657.0","5.4e-189","87.89"
"2:172994974-172995352","","Forward","5769","6147","379","652.0","1.2e-187","93.14"
"1:56907459-56907853","Satb2","Reverse","5771","6165","395","646.0","1.4e-185","89.87"
"1:54967335-54967731","","Forward","5715","6107","397","644.0","3.2e-185","90.93"
"3:123968033-123968434","","Reverse","5765","6165","402","644.0","4.1e-185","90.05"
"1:64870838-64871209","Plekhm3","Reverse","5792","6162","372","641.0","2.3e-184","93.28"
"1:43638467-43638868","","Forward","5764","6165","403","641.0","2.9e-184","89.58"
"1:15486636-15487016","Kcnb2","Forward","5774","6156","383","641.0","3.4e-184","92.69"
"4:55828230-55828640","","Forward","5698","6109","414","641.0","3.4e-184","89.37"
"X:153280421-153280817","Klf8","Forward","5769","6165","397","638.0","2.2e-183","89.42"
"5:97855842-97856238","","Reverse","5769","6165","397","637.0","5.1e-183","89.17"
"7:7024085-7024464","","Reverse","5709","6087","380","637.0","6.7e-183","92.37"
"1:185911047-185911427","","Reverse","5785","6165","381","636.0","7.7e-183","91.60"
